"","police","BLM","partyID"
"1",70,15,7
"2",40,50,6
"3",70,30,3
"4",70,50,5
"5",85,15,3
"6",85,0,5
"7",85,100,1
"8",85,15,4
"9",100,15,5
"10",85,50,3
"11",-6,-6,5
"12",-6,-6,3
"13",50,70,5
"14",100,0,2
"15",70,85,1
"16",60,50,1
"17",70,85,1
"18",85,70,7
"19",85,100,1
"20",85,70,6
"21",70,40,6
"22",100,10,6
"23",100,85,5
"24",85,40,5
"25",85,15,5
"26",100,50,5
"27",85,70,4
"28",100,50,4
"29",85,85,3
"30",100,50,4
"31",85,85,2
"32",-6,-6,7
"33",100,50,7
"34",100,0,5
"35",40,50,6
"36",70,40,2
"37",-6,-6,3
"38",30,0,7
"39",70,70,3
"40",30,100,2
"41",100,0,5
"42",85,40,7
"43",85,100,1
"44",100,0,7
"45",90,2,5
"46",60,70,2
"47",85,50,4
"48",100,15,5
"49",30,50,1
"50",-6,-6,2
"51",-6,-6,3
"52",85,30,1
"53",-6,-6,6
"54",100,15,6
"55",50,50,1
"56",85,40,3
"57",40,50,5
"58",40,998,1
"59",85,70,1
"60",70,50,5
"61",85,85,1
"62",85,75,1
"63",100,50,5
"64",100,60,6
"65",-6,-6,1
"66",-6,-6,3
"67",85,85,1
"68",100,60,5
"69",100,30,5
"70",60,85,1
"71",40,50,2
"72",85,60,1
"73",85,30,1
"74",85,100,3
"75",85,85,2
"76",85,50,6
"77",100,85,5
"78",85,70,3
"79",70,50,5
"80",100,85,2
"81",-6,-6,5
"82",70,999,-9
"83",50,60,1
"84",30,100,1
"85",60,85,3
"86",60,50,3
"87",85,70,3
"88",70,40,5
"89",70,30,7
"90",-6,-6,7
"91",-6,-6,7
"92",50,100,2
"93",-6,-6,2
"94",100,50,1
"95",70,40,5
"96",70,50,6
"97",-6,-6,7
"98",-6,-6,1
"99",85,40,4
"100",100,40,6
"101",60,40,1
"102",60,40,1
"103",85,60,4
"104",95,95,1
"105",80,15,7
"106",55,85,1
"107",50,50,3
"108",85,85,6
"109",50,100,3
"110",100,70,3
"111",100,0,5
"112",70,50,5
"113",60,30,5
"114",50,50,3
"115",40,70,2
"116",100,0,4
"117",100,0,5
"118",100,85,1
"119",100,70,1
"120",60,40,6
"121",70,30,5
"122",-6,-6,7
"123",85,50,5
"124",-6,-6,5
"125",100,0,6
"126",85,60,6
"127",85,100,3
"128",60,50,6
"129",85,40,5
"130",85,70,5
"131",90,30,1
"132",60,50,3
"133",85,85,3
"134",85,0,7
"135",50,85,3
"136",70,100,1
"137",50,75,3
"138",70,70,6
"139",100,50,7
"140",100,0,5
"141",70,85,1
"142",85,0,7
"143",-6,-6,1
"144",70,40,4
"145",85,70,2
"146",998,70,1
"147",-6,-6,7
"148",-6,-6,4
"149",60,70,1
"150",30,0,3
"151",100,999,1
"152",100,85,1
"153",70,30,5
"154",50,100,2
"155",70,60,1
"156",85,0,5
"157",85,30,5
"158",15,0,2
"159",100,40,5
"160",100,30,5
"161",85,100,1
"162",40,100,1
"163",-6,-6,2
"164",60,70,3
"165",70,100,1
"166",70,70,7
"167",85,0,4
"168",100,0,5
"169",80,80,2
"170",-6,-6,7
"171",60,50,2
"172",15,0,7
"173",100,50,7
"174",60,50,5
"175",85,85,1
"176",100,7,1
"177",85,998,7
"178",-6,-6,4
"179",85,85,1
"180",-6,-6,4
"181",85,50,2
"182",100,85,5
"183",60,30,3
"184",85,40,5
"185",70,100,1
"186",100,60,2
"187",100,85,3
"188",-6,-6,2
"189",85,40,6
"190",70,30,7
"191",-6,-6,6
"192",70,0,6
"193",100,15,6
"194",70,100,1
"195",70,60,3
"196",60,30,4
"197",85,40,3
"198",40,70,5
"199",70,70,1
"200",-6,-6,7
"201",100,0,7
"202",85,0,7
"203",-6,-6,4
"204",15,15,5
"205",100,0,6
"206",85,15,7
"207",85,60,6
"208",70,50,7
"209",100,100,3
"210",100,85,3
"211",85,85,1
"212",60,60,5
"213",70,85,1
"214",100,60,5
"215",70,85,5
"216",70,40,2
"217",85,15,7
"218",60,100,1
"219",85,30,6
"220",40,100,2
"221",100,0,1
"222",-6,-6,7
"223",100,0,5
"224",70,30,4
"225",85,30,5
"226",85,40,7
"227",70,60,7
"228",-6,-6,6
"229",60,0,7
"230",100,50,5
"231",70,70,4
"232",60,85,3
"233",-6,-6,4
"234",0,60,1
"235",85,0,7
"236",70,50,5
"237",-6,-6,6
"238",85,50,7
"239",-6,-6,7
"240",100,0,7
"241",85,85,5
"242",85,100,1
"243",100,70,6
"244",85,50,3
"245",85,15,5
"246",90,40,6
"247",100,100,1
"248",-6,-6,7
"249",40,100,3
"250",100,50,6
"251",85,999,1
"252",-6,-6,4
"253",85,40,1
"254",-6,-6,3
"255",85,40,5
"256",40,50,4
"257",-6,-6,5
"258",85,85,1
"259",-6,-6,3
"260",85,40,4
"261",70,70,1
"262",85,50,2
"263",85,40,3
"264",70,30,7
"265",85,50,-8
"266",85,0,7
"267",0,50,5
"268",85,40,2
"269",85,100,4
"270",50,999,5
"271",85,100,2
"272",100,50,1
"273",100,0,7
"274",85,100,2
"275",70,85,1
"276",60,85,1
"277",100,0,7
"278",100,30,6
"279",70,60,4
"280",85,0,7
"281",70,70,2
"282",85,15,7
"283",85,60,3
"284",60,15,2
"285",85,90,2
"286",85,15,7
"287",-6,-6,1
